symbol,predicted_return,weight
SNDK,0.10589210411947725,0.05
BE,0.034020130044994566,0.05
LITE,0.03371837501413978,0.05
MU,0.028605322323397023,0.05
WDC,0.026151442818952573,0.05
TER,0.025457186950379074,0.05
COHR,0.024077735639305816,0.05
FIX,0.0239734015646816,0.05
INTC,0.02395780011004474,0.05
MPWR,0.023091268032623184,0.05
LRCX,0.020483570540348547,0.05
GLW,0.02038377005072161,0.05
NVR,0.01995085598621007,0.05
CIEN,0.0195187656038415,0.05
KLAC,0.01865766584082221,0.05
AMAT,0.017827927199230965,0.05
MRVL,0.01648952692981339,0.05
VRT,0.01582285805792399,0.05
STX,0.015525464579864152,0.05
LII,0.014229801407584803,0.05
