symbol,date,open,high,low,close,volume,change,changePercent,vwap
NVDA,2025-09-10,176.64,179.29,175.47,177.33,225410731,0.69,0.39063,177.1825
NVDA,2025-09-09,169.09,170.98,166.74,170.76,157548400,1.67,0.98764,169.3925
NVDA,2025-09-08,167.55,170.96,167.35,168.31,163769133,0.76,0.4536,168.5425
NVDA,2025-09-05,168.03,169.03,164.07,167.02,224441435,-1.01,-0.60108,167.0375
NVDA,2025-09-04,170.57,171.86,169.41,171.66,141670144,1.09,0.63903,170.875
NVDA,2025-09-03,171.06,172.41,168.88,170.62,164424900,-0.44,-0.25722,170.7425
NVDA,2025-09-02,170.0,172.38,167.22,170.78,231164900,0.78,0.45882,170.095
NVDA,2025-08-29,178.11,178.15,173.15,174.18,243257900,-3.93,-2.21,175.8975
NVDA,2025-08-28,180.82,184.47,176.41,180.17,281787824,-0.65,-0.35947,180.4675
NVDA,2025-08-27,181.98,182.49,179.1,181.6,235518949,-0.38,-0.20881,181.2925
NVDA,2025-08-26,180.06,182.39,178.81,181.77,168688200,1.72,0.94968,180.7575
NVDA,2025-08-25,178.35,181.91,176.57,179.81,163012800,1.46,0.81862,179.16
NVDA,2025-08-22,172.61,178.59,171.2,177.99,172789427,5.38,3.12,175.0975
NVDA,2025-08-21,174.85,176.9,173.81,174.98,140040900,0.13,0.07434944,175.135
NVDA,2025-08-20,175.17,176.0,168.8,175.4,215142725,0.235,0.1313,173.8425
NVDA,2025-08-19,182.43,182.5,175.49,175.64,185229219,-6.79,-3.72,179.015
NVDA,2025-08-18,180.6,182.94,180.59,182.01,132008000,1.41,0.78073,181.535
NVDA,2025-08-15,181.88,181.9,178.04,180.45,156602200,-1.43,-0.78623,180.5675
NVDA,2025-08-14,179.75,183.02,179.46,182.02,129554000,2.27,1.26,181.0625
NVDA,2025-08-13,182.62,183.97,179.35,181.59,179871724,-1.03,-0.56401,181.8825
NVDA,2025-08-12,182.96,184.48,179.46,183.16,145729202,0.2,0.10931,182.515
NVDA,2025-08-11,182.05,183.84,180.25,182.06,138323200,0.01,0.005493,182.05
NVDA,2025-08-08,181.55,183.3,180.4,182.7,123396700,1.15,0.63343,181.9875
NVDA,2025-08-07,181.57,183.88,178.8,180.77,151878400,-0.8,-0.4406,181.255
NVDA,2025-08-06,176.33,179.9,176.25,179.42,137192300,3.09,1.75,177.975
NVDA,2025-08-05,179.62,180.26,175.9,178.26,156407621,-1.36,-0.75715,178.51
NVDA,2025-08-04,175.16,180.2,174.52,180.0,148174609,4.84,2.76,177.47
NVDA,2025-08-01,174.09,176.54,170.89,173.72,204529000,-0.37,-0.21253,173.81
NVDA,2025-07-31,182.9,183.3,175.93,177.87,221685446,-5.03,-2.75,180.0
NVDA,2025-07-30,176.51,179.89,176.04,179.27,174312208,2.76,1.56,177.9275
NVDA,2025-07-29,177.96,179.38,175.02,175.51,154077512,-2.45,-1.38,176.9675
NVDA,2025-07-28,174.02,177.0,173.97,176.75,140023521,2.73,1.57,175.435
NVDA,2025-07-25,173.61,174.72,172.96,173.5,122316800,-0.11,-0.06336041,173.6975
NVDA,2025-07-24,172.44,173.83,171.3,173.74,128984628,1.3,0.75389,172.8275
NVDA,2025-07-23,169.53,171.26,167.97,170.78,154082200,1.25,0.73733,169.885
NVDA,2025-07-22,171.34,171.39,164.58,167.03,193114327,-4.31,-2.52,168.585
NVDA,2025-07-21,172.75,173.38,171.0,171.38,123126136,-1.37,-0.79305,172.1275
NVDA,2025-07-18,173.64,174.25,171.26,172.41,146456416,-1.23,-0.70836,172.89
NVDA,2025-07-17,172.02,174.16,170.83,173.0,160841119,0.98,0.5697,172.5025
NVDA,2025-07-16,171.06,171.75,168.9,171.37,158831509,0.31,0.18122,170.77
NVDA,2025-07-15,171.19,172.4,169.2,170.7,230627400,-0.49,-0.28623,170.8725
NVDA,2025-07-14,165.37,165.49,162.02,164.07,136975800,-1.3,-0.78612,164.2375
NVDA,2025-07-11,163.72,167.89,163.47,164.92,193633300,1.2,0.73296,165.0
NVDA,2025-07-10,164.32,164.5,161.61,164.1,167704100,-0.22,-0.13389,163.6325
