symbol,date,open,high,low,close,volume,change,changePercent,vwap
GS,2026-01-05,914.4,961.66,914.4,948.44,3222865,34.04,3.72266,941.5
GS,2026-01-02,884.0,914.44,880.75,914.34,2817613,30.34,3.43,898.3825
GS,2025-12-31,884.1,886.0,876.79,879.0,1221740,-5.1,-0.57686,881.4725
GS,2025-12-30,894.74,895.02,881.18,884.42,1833300,-10.32,-1.15,888.84
GS,2025-12-29,906.45,906.48,891.56,892.18,1578000,-14.27,-1.57,899.1675
GS,2025-12-26,911.0,913.32,905.31,907.04,995328,-3.96,-0.43469,909.1675
GS,2025-12-24,901.16,911.88,898.7,910.78,771800,9.62,1.07,905.63
GS,2025-12-23,900.35,905.92,893.7,901.71,1210438,1.37,0.15105,900.42
GS,2025-12-22,896.52,905.48,894.84,899.0,1442332,2.48,0.27663,898.96
GS,2025-12-19,883.17,899.75,881.95,893.48,4808303,10.31,1.17,889.5875
GS,2025-12-18,880.5,892.79,874.7,876.3,2066338,-4.2,-0.477,881.0725
GS,2025-12-17,886.33,895.97,868.44,872.33,2213336,-14.0,-1.58,880.7675
GS,2025-12-16,890.23,896.24,874.32,879.15,2161603,-11.08,-1.24,884.985
GS,2025-12-15,892.0,904.47,889.59,889.59,1976603,-2.41,-0.27018,893.9125
GS,2025-12-12,913.75,914.99,886.99,887.96,2715200,-25.79,-2.82,900.9225
GS,2025-12-11,889.98,919.1,888.0,911.03,2683000,21.05,2.37,902.0275
GS,2025-12-10,871.35,897.2,869.27,889.24,2394300,17.89,2.05,881.765
GS,2025-12-09,866.0,883.72,864.31,876.58,2274812,10.58,1.22,872.6525
GS,2025-12-08,861.1,870.56,856.3,866.69,2238131,5.59,0.64917,863.6625
GS,2025-12-05,837.26,856.2,836.52,854.56,2277520,17.3,2.07,846.135
GS,2025-12-04,835.54,843.99,834.5,837.83,1671014,2.3,0.27407,837.965
GS,2025-12-03,812.95,837.91,812.95,836.57,2347919,23.62,2.91,825.095
GS,2025-12-02,811.12,819.7,808.3,815.21,2254578,4.09,0.50424,813.5825
GS,2025-12-01,818.59,824.73,809.61,810.86,2133209,-7.73,-0.94431,815.9475
GS,2025-11-28,820.0,830.57,818.95,826.04,868346,6.04,0.73659,823.89
GS,2025-11-26,805.84,819.58,805.0,816.01,1862897,10.17,1.26,811.6075
GS,2025-11-25,797.0,805.26,777.99,802.32,2253164,5.32,0.6675,795.6425
GS,2025-11-24,778.64,793.99,775.36,790.71,2319500,12.08,1.55,784.675
GS,2025-11-21,776.83,780.37,754.0,774.03,2284742,-2.8,-0.36044,771.3075
GS,2025-11-20,795.25,816.0,772.19,773.7,2599000,-21.55,-2.71,789.285
GS,2025-11-19,776.3,787.87,775.0,785.99,1521113,9.69,1.25,781.29
GS,2025-11-18,772.06,787.7,766.54,776.3,1673500,4.24,0.54918,775.65
GS,2025-11-17,790.0,796.73,770.5,775.56,1850600,-14.44,-1.83,783.1975
GS,2025-11-14,795.55,800.61,778.0,790.91,2552397,-4.64,-0.58324,791.2675
GS,2025-11-13,833.06,841.28,805.02,805.5,2557400,-27.56,-3.31,821.215
GS,2025-11-12,814.13,840.0,814.13,838.97,2954130,24.84,3.05,826.8075
GS,2025-11-11,798.48,812.0,795.61,810.31,1521500,11.83,1.48,804.1
GS,2025-11-10,796.08,806.36,788.8,797.2,1698200,1.12,0.14069,797.11
GS,2025-11-07,783.0,787.06,762.8,786.34,2098400,3.34,0.42656,779.8
GS,2025-11-06,794.0,798.2,777.0,787.58,1572510,-6.42,-0.80856,789.195
GS,2025-11-05,790.44,797.36,775.58,793.09,1832849,2.65,0.33526,789.1175
GS,2025-11-04,777.0,806.0,773.0,790.83,2046000,13.83,1.78,786.7075
GS,2025-11-03,789.57,796.0,781.44,785.52,1569490,-4.05,-0.51294,788.1325
GS,2025-10-31,784.98,791.72,783.0,789.37,1328350,4.39,0.55925,787.2675
GS,2025-10-30,783.56,807.14,780.6,790.16,1829500,6.6,0.84231,790.365
GS,2025-10-29,788.0,800.49,778.82,783.06,2251507,-4.94,-0.6269,787.5925
GS,2025-10-28,792.05,798.36,787.35,792.09,1242031,0.04,0.00505019,792.4625
GS,2025-10-27,789.0,796.71,787.01,789.99,1645300,0.99,0.12548,790.6775
GS,2025-10-24,759.85,784.61,756.0,783.88,2505628,24.03,3.16,771.085
GS,2025-10-23,749.34,755.0,744.66,750.78,1615400,1.44,0.19217,749.945
GS,2025-10-22,760.61,760.61,743.11,744.6,2141448,-16.01,-2.1,752.2325
GS,2025-10-21,759.0,765.3,758.27,758.98,1782200,-0.02,-0.00263505,760.3875
GS,2025-10-20,757.0,766.42,752.88,763.32,1925438,6.32,0.83487,759.905
GS,2025-10-17,758.15,758.94,740.01,750.77,2884713,-7.38,-0.97342,751.9675
GS,2025-10-16,770.66,781.44,752.41,758.09,3160922,-12.57,-1.63,765.65
GS,2025-10-15,778.62,782.49,762.66,767.93,3217433,-10.69,-1.37,772.925
GS,2025-10-14,764.45,786.57,742.46,770.76,4710809,6.31,0.82543,766.06
GS,2025-10-13,777.88,791.05,777.88,786.78,2766010,8.9,1.14,783.3975
GS,2025-10-10,783.12,791.66,764.0,764.36,2457900,-18.76,-2.4,775.785
GS,2025-10-09,778.85,782.91,771.35,779.96,1575049,1.11,0.14252,778.2675
GS,2025-10-08,791.75,795.0,774.34,776.51,1939300,-15.24,-1.92,784.4
GS,2025-10-07,798.0,805.32,781.39,789.65,1547401,-8.35,-1.05,793.59
GS,2025-10-06,795.0,802.5,780.05,796.78,1632600,1.78,0.2239,793.5825
GS,2025-10-03,783.0,794.92,777.86,789.98,1470517,6.98,0.89144,786.44
GS,2025-10-02,788.88,791.0,772.44,779.38,1553849,-9.5,-1.2,782.925
GS,2025-10-01,793.62,796.28,783.23,785.51,1789094,-8.11,-1.02,789.66
GS,2025-09-30,805.5,809.62,786.45,796.35,2463934,-9.15,-1.14,799.48
GS,2025-09-29,807.8,808.84,797.99,804.12,1059139,-3.68,-0.45556,804.6875
GS,2025-09-26,797.16,809.5,795.13,802.51,1376242,5.35,0.67113,801.075
GS,2025-09-25,786.0,798.18,782.01,794.76,1413100,8.76,1.11,790.2375
GS,2025-09-24,809.55,812.84,792.34,792.43,1402500,-17.12,-2.11,801.79
GS,2025-09-23,807.1,825.25,802.0,806.32,1759168,-0.78,-0.0966423,810.1675
GS,2025-09-22,801.14,806.03,797.54,805.56,1151214,4.42,0.55171,802.5675
GS,2025-09-19,804.09,809.66,797.37,805.0,3789814,0.91,0.11317,804.03
GS,2025-09-18,795.57,807.28,792.4,804.31,1501837,8.74,1.1,799.89
GS,2025-09-17,788.86,798.57,785.23,794.22,1945300,5.36,0.67946,791.72
GS,2025-09-16,789.53,790.01,779.69,785.53,1529500,-4.0,-0.50663,786.19
GS,2025-09-15,782.95,792.38,781.44,786.76,1292267,3.81,0.48662,785.8825
GS,2025-09-12,783.5,787.03,776.26,780.06,1099570,-3.44,-0.43906,781.7125
GS,2025-09-11,772.0,793.17,771.35,784.73,2076093,12.73,1.65,780.3125
GS,2025-09-10,761.86,774.47,761.63,769.58,1996395,7.72,1.01,766.885
GS,2025-09-09,740.13,765.62,738.54,763.92,2611307,23.79,3.21,752.0525
GS,2025-09-08,739.42,743.54,733.57,741.85,1400100,2.43,0.32864,739.595
GS,2025-09-05,752.19,757.35,727.15,738.21,1822800,-13.98,-1.86,743.725
GS,2025-09-04,733.75,748.91,731.17,748.9,1778200,15.15,2.06,740.6825
GS,2025-09-03,728.56,732.02,722.3,730.56,1485765,2.0,0.27451,728.36
GS,2025-09-02,736.39,736.39,721.16,730.85,2296616,-5.53,-0.75232,731.1975
GS,2025-08-29,746.71,748.92,738.9,745.25,1467307,-1.46,-0.19552,744.945
GS,2025-08-28,750.99,753.33,746.99,751.22,1411464,0.23,0.03062624,750.6325
GS,2025-08-27,745.97,753.0,745.02,749.67,1535102,3.7,0.496,748.415
GS,2025-08-26,737.71,749.16,733.86,748.95,1511647,11.24,1.52,742.42
GS,2025-08-25,741.89,746.5,738.33,738.79,1381285,-3.1,-0.41785,741.3775
GS,2025-08-22,720.14,744.84,718.58,741.89,1948881,21.75,3.02,731.3625
GS,2025-08-21,716.54,719.22,712.97,715.95,1162101,-0.59,-0.08234013,716.17
GS,2025-08-20,721.2,722.25,705.55,720.68,1872700,-0.515,-0.07210205,717.42
GS,2025-08-19,729.16,730.0,717.73,721.38,1856400,-7.78,-1.07,724.5675
GS,2025-08-18,729.5,731.61,723.87,730.96,1158015,1.46,0.20014,728.985
GS,2025-08-15,749.0,749.05,729.18,730.72,1645900,-18.28,-2.44,739.4875
GS,2025-08-14,742.72,748.16,737.0,747.2,1371507,4.48,0.60319,743.77
GS,2025-08-13,745.78,748.91,732.62,744.69,1862990,-1.09,-0.14616,743.0
GS,2025-08-12,725.28,748.14,724.35,743.38,2418313,18.1,2.5,735.2875
GS,2025-08-11,722.2,723.84,715.74,719.24,1273500,-2.96,-0.40986,720.255
GS,2025-08-08,725.86,728.0,718.65,721.27,1275528,-4.59,-0.63235,723.445
GS,2025-08-07,730.62,732.94,717.61,719.74,1400400,-10.88,-1.49,725.2275
GS,2025-08-06,724.5,728.3,722.0,724.74,1477307,0.24,0.03312629,724.885
GS,2025-08-05,728.0,729.4,714.55,720.91,1977330,-7.09,-0.9739,723.215
GS,2025-08-04,715.2,726.79,715.2,726.03,1753725,10.83,1.51,720.805
GS,2025-08-01,710.51,714.52,694.05,709.57,2999100,-0.94,-0.1323,707.1625
GS,2025-07-31,726.59,734.04,720.44,723.59,2358100,-3.0,-0.41289,726.165
GS,2025-07-30,731.14,737.88,723.18,730.75,1816238,-0.39,-0.05334136,730.7375
GS,2025-07-29,726.85,734.13,722.42,731.98,2136342,5.13,0.70579,728.845
GS,2025-07-28,728.0,732.52,722.17,723.65,1465032,-4.35,-0.59753,726.585
GS,2025-07-25,720.76,729.89,718.35,728.98,1851667,8.22,1.14,724.495
GS,2025-07-24,718.93,725.77,714.73,719.18,1974746,0.25,0.0347739,719.6525
GS,2025-07-23,702.0,719.01,701.5,717.52,2395700,15.52,2.21,710.0075
GS,2025-07-22,703.66,706.49,691.88,700.41,1978900,-3.25,-0.46187,700.61
GS,2025-07-21,709.14,712.76,704.35,706.0,2006500,-3.14,-0.44279,708.0625
GS,2025-07-18,707.06,710.29,698.39,708.26,1925396,1.2,0.16972,706.0
GS,2025-07-17,706.28,717.45,704.28,705.84,2046100,-0.435,-0.06229824,708.4625
GS,2025-07-16,708.5,709.78,691.3,708.82,3323219,0.32,0.04516584,704.6
GS,2025-07-15,713.3,714.69,700.04,702.51,1981228,-10.79,-1.51,707.635
GS,2025-07-14,704.74,713.43,702.13,713.3,1909300,8.56,1.21,708.4
GS,2025-07-11,703.59,706.0,700.23,704.95,1682060,1.36,0.19329,703.6925
GS,2025-07-10,696.74,710.38,696.45,709.12,1733788,12.38,1.78,703.1725
GS,2025-07-09,704.34,704.34,694.71,696.56,1763664,-7.78,-1.1,699.9875
GS,2025-07-08,710.72,711.19,693.77,697.28,3100706,-13.44,-1.89,703.24
GS,2025-07-07,721.7,723.97,706.34,710.93,2863715,-10.77,-1.49,715.735
GS,2025-07-03,715.91,726.0,713.4,723.68,1502041,7.77,1.09,719.7475
GS,2025-07-02,708.8,718.73,705.08,715.89,2906509,7.09,1.0,712.125
GS,2025-07-01,708.0,713.01,700.61,706.46,3301000,-1.54,-0.21751,707.02
GS,2025-06-30,714.27,714.3,702.95,707.75,3976416,-6.51,-0.91282,709.8175
GS,2025-06-27,691.0,694.2,685.39,690.81,3650514,-0.19,-0.02749638,690.35
GS,2025-06-26,670.62,689.33,670.51,687.16,2849509,16.54,2.47,679.405
GS,2025-06-25,664.6,670.12,660.79,669.87,1566692,5.27,0.79296,666.345
GS,2025-06-24,654.45,663.77,653.24,662.11,2307810,7.66,1.17,658.3925
GS,2025-06-23,639.26,647.42,630.01,646.88,2020840,7.62,1.19,640.8925
GS,2025-06-20,638.83,642.64,636.69,640.8,4115400,1.97,0.30838,639.74
GS,2025-06-18,624.51,639.88,623.65,635.24,2423106,10.73,1.72,630.82
GS,2025-06-17,624.7,631.67,623.0,624.64,1479300,-0.06,-0.00960461,626.0025
GS,2025-06-16,619.0,632.27,618.0,627.85,1870400,8.85,1.43,624.28
GS,2025-06-13,616.05,620.12,609.59,613.54,1675102,-2.51,-0.40743,614.825
GS,2025-06-12,621.0,626.01,615.8,625.11,1634700,4.11,0.66184,621.98
GS,2025-06-11,617.18,629.84,614.59,624.17,2063600,6.99,1.13,621.445
GS,2025-06-10,613.0,616.55,609.31,614.87,1376484,1.87,0.30506,613.4325
GS,2025-06-09,614.75,619.1,611.01,613.52,1610717,-1.23,-0.20008,614.595
GS,2025-06-06,613.0,621.38,610.0,614.0,1676062,1.0,0.16313,614.595
GS,2025-06-05,600.0,609.72,592.9,605.88,2088546,5.88,0.98,602.125
GS,2025-06-04,605.48,606.33,598.72,599.21,1295143,-6.27,-1.04,602.435
GS,2025-06-03,600.0,606.32,593.73,603.83,1730300,3.83,0.63833,600.97
GS,2025-06-02,598.6,599.17,592.17,598.72,1221389,0.12,0.02004678,597.165
GS,2025-05-30,600.0,603.6,593.83,600.45,2129871,0.45,0.075,599.47
GS,2025-05-29,608.52,610.0,598.3,604.86,1736459,-3.66,-0.60146,605.42
GS,2025-05-28,617.28,618.63,607.31,608.44,2001916,-8.84,-1.43,612.915
GS,2025-05-27,605.9,617.67,604.95,615.73,2364700,9.84,1.62,611.0625
GS,2025-05-23,585.0,601.96,582.5,598.54,1530625,13.54,2.31,592.0
GS,2025-05-22,592.55,602.2,592.51,598.23,1939600,5.68,0.95857,596.3725
GS,2025-05-21,601.8,609.87,592.0,593.46,2635920,-8.34,-1.39,599.2825
GS,2025-05-20,607.75,611.55,603.01,606.52,1602046,-1.23,-0.20239,607.2075
GS,2025-05-19,609.19,619.38,598.34,612.3,2842100,3.11,0.51051,609.8025
GS,2025-05-16,616.95,620.79,613.56,619.03,2021800,2.08,0.33714,617.5825
GS,2025-05-15,609.73,619.21,609.73,615.9,2428100,6.17,1.01,613.6425
GS,2025-05-14,603.8,615.0,602.5,611.6,2874409,7.8,1.29,608.225
GS,2025-05-13,593.3,607.71,593.06,603.81,2765800,10.51,1.77,599.47
GS,2025-05-12,596.26,603.37,588.08,591.34,3527740,-4.91,-0.82514,594.7625
GS,2025-05-09,570.25,572.1,565.78,567.1,1522728,-3.15,-0.55239,568.8075
GS,2025-05-08,558.82,572.16,558.21,565.7,1994630,6.88,1.23,563.7225
GS,2025-05-07,550.21,555.38,547.74,551.92,1955077,1.71,0.31079,551.3125
GS,2025-05-06,549.6,557.44,547.06,549.36,2902500,-0.24,-0.04366812,550.865
GS,2025-05-05,558.36,566.56,557.5,559.56,2197371,1.2,0.21492,560.495
GS,2025-05-02,561.58,569.78,559.7,566.1,2883009,4.52,0.80487,564.29
GS,2025-05-01,548.1,558.35,545.5,553.83,2583032,5.73,1.05,551.445
GS,2025-04-30,535.76,549.52,531.45,547.55,2438300,11.79,2.2,541.07
GS,2025-04-29,543.79,550.88,541.3,548.92,1695600,5.13,0.94338,546.2225
GS,2025-04-28,544.86,554.5,542.47,546.4,1459715,1.54,0.28264,547.0575
GS,2025-04-25,544.6,549.09,541.22,544.86,1612723,0.26,0.04774146,544.9425
GS,2025-04-24,527.1,546.84,523.42,545.37,2223623,18.27,3.47,535.6825
GS,2025-04-23,533.63,551.79,528.26,529.18,3048100,-4.45,-0.83391,535.715
GS,2025-04-22,510.23,521.0,508.93,519.99,2514600,9.76,1.91,515.0375
GS,2025-04-21,505.4,509.27,494.68,501.36,2859300,-4.04,-0.79937,502.6775
GS,2025-04-17,503.24,514.83,499.12,509.49,2593500,6.25,1.24,506.67
GS,2025-04-16,501.72,509.45,492.69,499.05,2765600,-2.67,-0.53217,500.7275
GS,2025-04-15,507.41,518.65,507.0,507.89,2501200,0.48,0.09459806,510.2375
GS,2025-04-14,510.0,512.0,497.15,503.98,4392600,-6.02,-1.18,505.7825
GS,2025-04-11,487.0,498.52,478.58,494.44,3770238,7.44,1.53,489.635
GS,2025-04-10,503.1,503.1,474.0,489.8,5374500,-13.3,-2.64,492.5
GS,2025-04-09,451.36,522.0,447.11,516.87,7024100,65.51,14.51,484.335
GS,2025-04-08,488.25,491.92,452.83,462.22,4240900,-26.03,-5.33,473.805
GS,2025-04-07,446.9,489.98,439.38,465.51,6353800,18.61,4.16,460.4425
GS,2025-04-04,487.0,492.0,460.0,470.81,8105212,-16.19,-3.32,477.4525
GS,2025-04-03,525.43,529.99,509.56,511.23,5193900,-14.2,-2.7,519.0525
GS,2025-04-02,539.8,567.32,539.08,563.1,2560700,23.3,4.32,552.325
GS,2025-04-01,543.25,551.96,533.24,548.45,1869600,5.2,0.9572,544.225
GS,2025-03-31,533.82,547.39,528.59,546.29,2455100,12.47,2.34,539.0225
GS,2025-03-28,555.95,560.5,537.71,543.12,2773100,-12.83,-2.31,549.32
GS,2025-03-27,565.0,566.0,552.55,558.92,2100900,-6.08,-1.08,560.6175
GS,2025-03-26,588.39,592.64,571.0,573.92,1952000,-14.47,-2.46,581.4875
GS,2025-03-25,584.69,586.89,578.21,585.94,1875500,1.25,0.21379,583.9325
GS,2025-03-24,575.0,582.72,573.05,580.1,1877703,5.1,0.88696,577.7175
GS,2025-03-21,555.33,567.0,551.21,565.14,3565600,9.81,1.77,559.67
GS,2025-03-20,553.1,568.44,552.0,562.68,2531300,9.58,1.73,559.055
GS,2025-03-19,549.0,563.0,544.6,557.34,2770144,8.34,1.52,553.485
GS,2025-03-18,550.29,553.75,546.65,551.78,2641018,1.49,0.27077,550.6175
GS,2025-03-17,541.23,557.16,540.0,551.34,2695600,10.11,1.87,547.4325
GS,2025-03-14,533.99,543.57,526.7,541.41,2808108,7.42,1.39,536.4175
GS,2025-03-13,535.67,538.14,520.06,524.81,2529106,-10.86,-2.03,529.67
GS,2025-03-12,544.0,545.0,528.59,535.71,3078100,-8.29,-1.52,538.325
GS,2025-03-11,532.47,539.99,524.2,531.43,4190502,-1.04,-0.19532,532.0225
GS,2025-03-10,542.3,546.47,523.13,531.66,5272115,-10.64,-1.96,535.89
GS,2025-03-07,568.17,568.17,544.91,559.67,4069949,-8.5,-1.5,560.23
GS,2025-03-06,580.59,586.71,564.62,567.67,4332338,-12.92,-2.23,574.8975
GS,2025-03-05,582.09,597.12,576.78,593.07,2600616,10.98,1.89,587.265
GS,2025-03-04,595.98,600.0,567.57,581.14,4061006,-14.84,-2.49,586.1725
