symbol,description,weight
GS,THE GOLDMAN SACHS GROUP INC,0.1052
MSFT,MICROSOFT CORP,0.0684
CAT,CATERPILLAR INC,0.063
HD,THE HOME DEPOT INC,0.0535
SHW,SHERWIN-WILLIAMS CO,0.0457
UNH,UNITEDHEALTH GROUP INC,0.0456
V,VISA INC CLASS A,0.0451
AXP,AMERICAN EXPRESS CO,0.0439
JPM,JPMORGAN CHASE & CO,0.0417
MCD,MCDONALD'S CORP,0.0401
IBM,INTERNATIONAL BUSINESS MACHINES CORP,0.0373
AMGN,AMGEN INC,0.0373
TRV,THE TRAVELERS COMPANIES INC,0.0369
AAPL,APPLE INC,0.0336
CRM,SALESFORCE INC,0.0313
AMZN,AMAZON.COM INC,0.029
BA,BOEING CO,0.0285
HON,HONEYWELL INTERNATIONAL INC,0.0278
NVDA,NVIDIA CORP,0.0246
JNJ,JOHNSON & JOHNSON,0.0245
MMM,3M CO,0.0205
CVX,CHEVRON CORP,0.0205
PG,PROCTER & GAMBLE CO,0.0203
DIS,THE WALT DISNEY CO,0.0151
WMT,WALMART INC,0.0136
MRK,MERCK & CO INC,0.0111
NKE,NIKE INC CLASS B,0.0092
CSCO,CISCO SYSTEMS INC,0.009
KO,COCA-COLA CO,0.0088
VZ,VERIZON COMMUNICATIONS INC,0.0058
